student_id,age,gender,study_hours_per_week,preferred_learning_style,online_courses_completed,participation_in_discussions,assignment_completion_rate,exam_score,attendance_rate,use_of_educational_tech,self_reported_stress_level,time_spent_on_social_media,sleep_hours_per_night,final_grade,cgpa,mastery_score
S00954,19,Male,47,Visual,18,No,17.7,70,63,No,Low,0,6,A,4,87.7
S00955,25,Male,42,Auditory,16,Yes,17.4,59.5,62,Yes,Low,26,7,A,4,76.9
S00956,24,Male,34,Auditory,7,Yes,16.2,65.1,100,No,High,23,5,A,4,81.3
S00957,23,Female,30,Kinesthetic,4,Yes,20.7,51.8,96,No,Low,9,5,B,3,72.5
S00958,26,Female,15,Auditory,5,Yes,27.6,44.1,66,Yes,High,13,9,C,2,71.7
S00959,29,Female,27,Visual,18,Yes,27,32.2,88,Yes,Medium,27,4,D,1,59.2
S00960,26,Female,17,Auditory,4,Yes,26.1,56.7,62,No,Low,20,5,B,3,82.8
S00961,21,Female,16,Auditory,12,Yes,29.4,35.7,92,Yes,Medium,18,7,D,1,65.1
S00962,25,Male,11,Reading/Writing,4,Yes,17.7,53.9,78,No,Low,12,5,B,3,71.6
S00963,23,Male,21,Kinesthetic,10,Yes,25.5,38.5,79,Yes,Medium,5,4,C,2,64
S00964,25,Female,29,Kinesthetic,0,Yes,27.3,31.5,62,Yes,High,28,4,D,1,58.8
S00965,24,Female,38,Kinesthetic,9,Yes,22.5,44.8,97,Yes,Low,7,6,C,2,67.3
S00966,25,Male,36,Auditory,13,Yes,18.6,41.3,80,Yes,Low,2,4,C,2,59.9
S00967,23,Male,21,Kinesthetic,11,No,29.4,56.7,85,Yes,Medium,7,8,B,3,86.1
S00968,26,Female,15,Auditory,18,Yes,19.8,32.2,69,Yes,Medium,1,8,D,1,52
S00969,18,Other,38,Auditory,5,Yes,22.2,60.2,98,No,Medium,23,6,A,4,82.4
S00970,20,Female,26,Reading/Writing,0,Yes,20.4,44.1,95,Yes,High,4,8,C,2,64.5
S00971,19,Male,20,Kinesthetic,0,No,19.5,37.8,93,No,Medium,12,9,D,1,57.3
S00972,28,Female,33,Visual,17,Yes,21,45.5,95,Yes,High,10,6,C,2,66.5
S00973,28,Male,8,Kinesthetic,16,Yes,18.9,67.9,79,Yes,High,18,8,A,4,86.8
S00974,26,Male,25,Reading/Writing,20,Yes,18,58.1,88,No,High,21,5,B,3,76.1
S00975,19,Male,43,Reading/Writing,3,No,25.8,65.1,63,Yes,Medium,9,5,A,4,90.9
S00976,19,Female,14,Reading/Writing,0,No,18.3,65.1,52,Yes,Low,15,10,A,4,83.4
S00977,21,Male,47,Reading/Writing,11,Yes,19.8,63.7,99,Yes,Low,17,8,A,4,83.5
S00978,19,Male,8,Kinesthetic,3,Yes,27.3,35,64,Yes,Medium,23,9,D,1,62.3
S00979,18,Other,41,Visual,7,Yes,27.6,57.4,72,No,High,7,8,B,3,85
S00980,21,Male,15,Kinesthetic,3,No,18.3,38.5,72,No,Medium,2,5,C,2,56.8
S00981,25,Female,21,Reading/Writing,13,Yes,28.2,42.7,72,Yes,Low,5,7,C,2,70.9
S00982,20,Female,18,Visual,19,Yes,23.7,68.6,84,No,High,8,4,A,4,92.3
S00983,23,Male,23,Auditory,11,No,25.8,53.9,97,Yes,Medium,5,4,B,3,79.7
S00984,19,Male,46,Auditory,18,No,22.5,44.8,94,Yes,Medium,9,8,C,2,67.3
S00985,25,Female,15,Reading/Writing,1,Yes,20.7,46.2,68,No,Low,23,5,C,2,66.9
S00986,18,Male,38,Auditory,18,Yes,21.9,48.3,66,Yes,High,0,4,C,2,70.2
S00987,20,Male,48,Auditory,17,Yes,23.1,28.7,85,Yes,High,15,10,D,1,51.8
S00988,26,Male,45,Reading/Writing,4,No,27.3,45.5,60,Yes,High,0,7,C,2,72.8
S00989,20,Female,48,Kinesthetic,19,No,16.8,28,80,Yes,Medium,27,7,D,1,44.8
S00990,22,Male,37,Kinesthetic,20,Yes,27,59.5,97,Yes,High,27,7,A,4,86.5
S00991,26,Male,22,Kinesthetic,0,No,30,64.4,80,Yes,High,21,6,A,4,94.4
S00992,29,Female,20,Kinesthetic,4,Yes,28.5,47.6,82,No,Low,11,7,C,2,76.1
S00993,19,Female,5,Visual,17,No,15.9,37.1,50,Yes,High,26,5,D,1,53
S00994,25,Male,16,Reading/Writing,2,No,15.6,62.3,89,No,Medium,8,7,A,4,77.9
S00995,28,Female,32,Visual,11,No,24.6,64.4,73,Yes,Medium,10,7,A,4,89
S00996,24,Female,30,Kinesthetic,12,Yes,27,49,74,Yes,Low,28,6,B,3,76
S00997,21,Other,11,Reading/Writing,15,No,21.9,33.6,68,Yes,Medium,27,4,D,1,55.5
S00998,20,Male,11,Kinesthetic,15,No,20.7,59.5,62,Yes,Low,21,5,A,4,80.2
S00999,23,Female,22,Auditory,14,No,23.4,32.9,68,Yes,Medium,16,9,D,1,56.3
S01000,29,Male,14,Auditory,15,No,28.2,63,73,Yes,High,30,5,A,4,91.2
S01001,21,Female,15,Kinesthetic,17,Yes,29.4,28,50,No,Low,5,5,D,1,57.4
S01002,20,Male,16,Visual,6,Yes,22.2,59.5,97,Yes,Medium,1,4,A,4,81.7
S01003,23,Female,8,Kinesthetic,1,Yes,15.9,33.6,84,No,Medium,11,7,D,1,49.5
S01004,22,Female,18,Visual,13,Yes,25.2,42,74,Yes,High,9,8,C,2,67.2
S01005,18,Other,23,Auditory,19,Yes,24,35,99,Yes,Low,6,5,D,1,59
S01006,22,Female,34,Kinesthetic,2,No,23.7,39.9,69,Yes,Low,11,8,C,2,63.6
S01007,22,Female,15,Auditory,13,Yes,15,30.8,85,Yes,Medium,18,6,D,1,45.8
S01008,23,Male,24,Kinesthetic,0,Yes,18.9,69.3,86,Yes,Low,13,4,A,4,88.2
S01009,20,Male,24,Kinesthetic,17,Yes,17.1,69.3,50,Yes,High,17,5,A,4,86.4
S01010,27,Male,9,Auditory,2,Yes,26.7,38.5,98,Yes,High,4,4,C,2,65.2
S01011,28,Male,46,Reading/Writing,6,No,27.6,29.4,50,Yes,High,24,8,D,1,57
S01012,23,Female,48,Reading/Writing,15,No,24.9,39.9,98,Yes,Medium,25,4,C,2,64.8
S01013,20,Female,19,Kinesthetic,13,Yes,26.4,60.2,95,Yes,Low,0,4,A,4,86.6
S01014,27,Male,27,Visual,14,Yes,22.5,59.5,92,Yes,Medium,21,5,A,4,82
S01015,27,Male,21,Kinesthetic,5,Yes,22.5,30.1,90,Yes,High,22,9,D,1,52.6
S01016,28,Female,42,Kinesthetic,0,No,26.1,40.6,97,No,Medium,22,4,C,2,66.7
S01017,24,Male,34,Kinesthetic,9,Yes,26.1,56.7,57,Yes,Medium,11,6,B,3,82.8
S01018,22,Male,12,Auditory,18,No,26.1,38.5,88,Yes,Medium,4,6,C,2,64.6
S01019,29,Female,21,Kinesthetic,20,No,29.1,60.9,63,Yes,Medium,28,7,A,4,90
S01020,22,Male,15,Reading/Writing,1,Yes,29.1,38.5,82,Yes,Medium,19,4,C,2,67.6
S01021,23,Female,46,Kinesthetic,11,No,20.7,64.4,60,No,Medium,8,4,A,4,85.1
S01022,25,Male,25,Kinesthetic,10,Yes,24.3,63.7,100,Yes,Medium,13,4,A,4,88
S01023,24,Male,47,Auditory,14,No,20.1,69.3,73,Yes,Medium,19,8,A,4,89.4
S01024,19,Female,45,Kinesthetic,16,No,17.4,60.9,94,Yes,Medium,29,9,A,4,78.3
S01025,25,Female,15,Reading/Writing,1,Yes,22.2,30.1,67,Yes,Low,14,10,D,1,52.3
S01026,25,Female,34,Visual,1,Yes,27.6,30.1,56,Yes,Medium,20,4,D,1,57.7
S01027,29,Female,13,Kinesthetic,9,No,24.6,58.1,93,No,Low,22,4,B,3,82.7
S01028,28,Female,26,Reading/Writing,19,No,15,67.2,60,Yes,Medium,16,4,A,4,82.2
S01029,28,Female,43,Auditory,18,Yes,27.9,66.5,70,No,Low,1,9,A,4,94.4
S01030,22,Female,17,Kinesthetic,1,No,27,61.6,52,Yes,High,0,6,A,4,88.6
S01031,21,Male,45,Kinesthetic,11,Yes,29.7,51.8,50,Yes,High,2,10,B,3,81.5
S01032,23,Male,42,Reading/Writing,4,Yes,28.8,65.8,100,Yes,Medium,6,5,A,4,94.6
S01033,23,Female,35,Auditory,7,No,24.3,54.6,97,Yes,Low,14,6,B,3,78.9
S01034,24,Male,47,Auditory,13,Yes,18.9,59.5,77,Yes,High,25,7,A,4,78.4
S01035,20,Female,26,Auditory,12,No,23.7,52.5,84,Yes,High,7,8,B,3,76.2
S01036,27,Female,18,Reading/Writing,8,No,26.7,50.4,69,Yes,Medium,27,8,B,3,77.1
S01037,22,Male,38,Auditory,11,Yes,21.3,42,77,No,Medium,21,9,C,2,63.3
S01038,25,Female,47,Visual,2,Yes,18.3,53.9,68,Yes,Low,28,10,B,3,72.2
S01039,28,Male,6,Reading/Writing,19,Yes,27.9,60.2,91,Yes,Medium,16,9,A,4,88.1
S01040,20,Female,39,Auditory,8,No,21.6,69.3,60,No,High,18,10,A,4,90.9
S01041,22,Female,38,Kinesthetic,17,Yes,28.5,32.9,71,Yes,Medium,19,10,D,1,61.4
S01042,28,Other,27,Kinesthetic,8,Yes,29.7,60.9,56,Yes,Medium,22,9,A,4,90.6
S01043,26,Male,48,Auditory,6,Yes,18.9,36.4,57,Yes,Medium,23,6,D,1,55.3
S01044,20,Female,11,Visual,19,Yes,16.2,31.5,63,Yes,Low,0,7,D,1,47.7
S01045,23,Male,5,Visual,17,Yes,22.2,58.1,64,Yes,Medium,12,7,B,3,80.3
S01046,27,Female,47,Kinesthetic,0,Yes,16.8,32.9,79,Yes,Medium,8,4,D,1,49.7
S01047,22,Female,49,Kinesthetic,2,Yes,24.3,28,52,Yes,Low,19,6,D,1,52.3
S01048,26,Female,20,Kinesthetic,8,Yes,27.3,46.2,50,No,Medium,4,6,C,2,73.5
S01049,24,Male,25,Visual,11,Yes,17.1,56,57,No,Medium,8,4,B,3,73.1
S01050,22,Male,21,Reading/Writing,9,No,16.8,60.2,59,Yes,High,9,4,A,4,77
S01051,27,Male,33,Visual,10,No,25.5,31.5,69,No,Medium,8,4,D,1,57
S01052,21,Female,19,Auditory,10,Yes,23.4,32.9,89,No,Medium,16,9,D,1,56.3
S01053,21,Female,20,Reading/Writing,15,Yes,24.9,46.2,84,Yes,Low,26,10,C,2,71.1
S01054,20,Male,33,Auditory,11,Yes,19.5,39.9,89,Yes,Low,30,5,C,2,59.4
S01055,19,Female,25,Auditory,4,No,15.3,35,94,Yes,Medium,0,5,D,1,50.3
S01056,29,Female,30,Auditory,0,Yes,25.5,48.3,77,No,Low,25,9,C,2,73.8
S01057,19,Female,31,Visual,0,No,21.9,65.8,51,No,Low,3,8,A,4,87.7
S01058,26,Female,35,Visual,1,Yes,15,36.4,76,Yes,Medium,24,4,D,1,51.4
S01059,24,Male,21,Reading/Writing,7,No,28.8,29.4,86,Yes,Medium,5,10,D,1,58.2
S01060,24,Male,26,Visual,19,No,25.5,44.1,51,Yes,Medium,21,10,C,2,69.6
S01061,20,Female,31,Auditory,15,No,22.8,53.2,58,Yes,Medium,23,7,B,3,76
S01062,27,Male,15,Auditory,2,Yes,26.7,56.7,99,Yes,Medium,9,5,B,3,83.4
S01063,26,Female,9,Auditory,10,Yes,30,57.4,56,Yes,Medium,9,4,B,3,87.4
S01064,21,Female,29,Auditory,5,Yes,16.2,63,62,Yes,Medium,16,5,A,4,79.2
S01065,29,Male,31,Kinesthetic,3,No,16.5,59.5,69,Yes,Low,8,8,A,4,76
S01066,22,Female,46,Visual,9,No,16.8,28,96,No,High,21,6,D,1,44.8
S01067,19,Male,8,Reading/Writing,16,Yes,18.6,54.6,51,No,Low,8,4,B,3,73.2
S01068,26,Male,41,Reading/Writing,12,No,19.2,56.7,69,Yes,Low,21,6,B,3,75.9
S01069,23,Male,42,Visual,9,Yes,25.8,42,76,No,Low,22,6,C,2,67.8
S01070,20,Male,16,Reading/Writing,13,Yes,29.7,45.5,84,Yes,High,28,9,C,2,75.2
S01071,19,Female,28,Reading/Writing,12,Yes,27.3,46.2,85,No,Medium,21,7,C,2,73.5
S01072,29,Male,7,Reading/Writing,17,Yes,23.7,42,64,Yes,Low,2,5,C,2,65.7
S01073,20,Female,24,Auditory,9,Yes,27.3,33.6,56,Yes,Medium,19,8,D,1,60.9
S01074,20,Male,41,Auditory,5,No,15.9,35,64,Yes,High,27,5,D,1,50.9
S01075,25,Male,44,Reading/Writing,15,Yes,15.6,49.7,91,Yes,Medium,29,10,B,3,65.3
S01076,29,Female,26,Auditory,7,No,18.9,67.9,90,Yes,Medium,5,4,A,4,86.8
S01077,28,Male,12,Auditory,4,No,15.3,70,84,Yes,High,3,8,A,4,85.3
S01078,27,Female,25,Kinesthetic,18,Yes,16.2,53.2,99,No,Low,0,6,B,3,69.4
S01079,28,Male,12,Visual,20,Yes,20.4,39.9,69,No,High,1,5,C,2,60.3
S01080,27,Female,11,Kinesthetic,20,Yes,24,38.5,61,Yes,High,22,10,C,2,62.5
S01081,24,Female,12,Visual,12,No,29.4,32.2,76,Yes,Medium,25,10,D,1,61.6
S01082,21,Female,43,Reading/Writing,1,No,26.4,34.3,63,Yes,Low,25,6,D,1,60.7
S01083,29,Female,11,Auditory,7,Yes,17.7,69.3,64,Yes,Medium,28,6,A,4,87
S01084,18,Female,17,Visual,15,Yes,22.2,43.4,60,Yes,Low,12,9,C,2,65.6
S01085,23,Male,44,Reading/Writing,14,Yes,24.6,62.3,65,Yes,Medium,2,8,A,4,86.9
S01086,23,Female,18,Auditory,7,Yes,18.6,45.5,100,Yes,Low,1,9,C,2,64.1
S01087,24,Female,32,Visual,4,Yes,18,60.2,58,Yes,High,16,7,A,4,78.2
S01088,22,Other,49,Visual,5,Yes,24.6,38.5,73,Yes,Medium,9,9,C,2,63.1
S01089,20,Female,9,Reading/Writing,20,Yes,24.3,29.4,64,Yes,Medium,5,8,D,1,53.7
S01090,23,Female,47,Auditory,18,Yes,26.1,60.9,57,Yes,High,23,5,A,4,87
S01091,26,Female,47,Reading/Writing,14,Yes,27.3,56,55,No,Low,29,7,B,3,83.3
S01092,27,Male,45,Reading/Writing,16,No,18.3,49.7,79,Yes,Medium,14,8,B,3,68
S01093,25,Female,36,Reading/Writing,16,No,15.3,43.4,56,Yes,Medium,25,6,C,2,58.7
S01094,27,Female,42,Kinesthetic,3,Yes,27.3,30.1,94,Yes,Low,15,5,D,1,57.4
S01095,26,Male,35,Visual,2,Yes,20.1,42.7,68,Yes,Low,9,4,C,2,62.8
S01096,19,Male,7,Visual,16,Yes,26.4,67.2,70,Yes,Low,20,7,A,4,93.6
S01097,29,Male,12,Visual,3,Yes,23.1,56.7,77,No,High,4,8,B,3,79.8
S01098,19,Male,44,Kinesthetic,5,No,29.1,30.8,64,No,Medium,12,6,D,1,59.9
S01099,20,Female,38,Reading/Writing,3,Yes,30,66.5,83,Yes,Medium,25,9,A,4,96.5
S01100,18,Male,27,Reading/Writing,12,No,18.9,43.4,91,Yes,Medium,8,8,C,2,62.3
S01101,21,Male,33,Visual,7,Yes,20.7,48.3,52,Yes,Medium,5,10,C,2,69
S01102,19,Male,29,Visual,1,Yes,21.6,63,96,No,Low,22,7,A,4,84.6
S01103,20,Female,47,Visual,4,Yes,17.7,49.7,69,No,Low,27,4,B,3,67.4
S01104,23,Female,30,Auditory,8,No,20.4,45.5,87,No,Medium,5,5,C,2,65.9
S01105,27,Male,9,Auditory,18,Yes,22.5,69.3,70,No,Medium,28,6,A,4,91.8
S01106,26,Male,47,Reading/Writing,10,No,15.6,29.4,54,Yes,Medium,17,4,D,1,45
S01107,18,Male,31,Visual,1,Yes,28.5,53.2,59,Yes,High,5,9,B,3,81.7
S01108,21,Female,41,Visual,10,Yes,21.3,57.4,85,No,Low,24,7,B,3,78.7
S01109,29,Male,38,Auditory,10,No,18.6,64.4,67,Yes,Medium,7,5,A,4,83
S01110,26,Female,5,Kinesthetic,16,Yes,21,37.8,81,Yes,Medium,23,5,D,1,58.8
S01111,27,Male,12,Reading/Writing,8,Yes,29.4,42,80,Yes,Low,8,5,C,2,71.4
S01112,27,Female,24,Auditory,12,Yes,21.3,51.8,79,Yes,Medium,25,5,B,3,73.1
S01113,27,Female,39,Reading/Writing,12,No,22.8,32.2,69,Yes,Low,20,5,D,1,55
S01114,18,Male,23,Kinesthetic,14,No,19.8,28,53,No,High,8,7,D,1,47.8
S01115,28,Female,18,Auditory,6,Yes,18.9,54.6,73,Yes,High,28,6,B,3,73.5
S01116,27,Female,7,Reading/Writing,0,No,20.7,47.6,73,Yes,High,14,10,C,2,68.3
S01117,21,Female,5,Auditory,5,Yes,25.2,68.6,96,No,Medium,19,9,A,4,93.8
S01118,19,Female,10,Visual,7,Yes,22.8,60.9,87,Yes,Medium,19,9,A,4,83.7
S01119,18,Other,8,Visual,16,No,29.1,43.4,78,No,Low,17,7,C,2,72.5
S01120,22,Male,44,Visual,12,Yes,24.6,53.2,69,No,Low,4,5,B,3,77.8
S01121,29,Male,40,Visual,18,Yes,19.5,53.9,69,Yes,Medium,12,4,B,3,73.4
S01122,22,Male,30,Reading/Writing,2,No,30,70,68,No,High,4,5,A,4,100
S01123,25,Female,34,Kinesthetic,2,No,22.8,49,73,No,High,14,5,B,3,71.8
S01124,27,Male,35,Reading/Writing,9,No,23.7,37.8,99,Yes,Low,24,6,D,1,61.5
S01125,23,Male,5,Kinesthetic,6,Yes,22.8,67.9,96,Yes,Medium,29,8,A,4,90.7
S01126,21,Male,44,Kinesthetic,11,Yes,27.6,47.6,99,Yes,Low,0,5,C,2,75.2
S01127,29,Female,14,Kinesthetic,15,No,15.6,40.6,66,No,Medium,27,10,C,2,56.2
S01128,23,Female,28,Auditory,18,No,21,35.7,63,No,Medium,8,10,D,1,56.7
S01129,19,Female,31,Kinesthetic,19,Yes,22.2,55.3,91,Yes,High,5,9,B,3,77.5
S01130,28,Male,8,Kinesthetic,6,Yes,20.4,33.6,81,Yes,Medium,7,7,D,1,54
S01131,18,Female,19,Kinesthetic,18,No,29.4,60.9,94,Yes,Medium,18,8,A,4,90.3
S01132,29,Male,20,Kinesthetic,5,Yes,25.5,39.9,67,Yes,High,15,5,C,2,65.4
S01133,29,Female,24,Visual,6,Yes,18,64.4,64,No,Low,3,9,A,4,82.4
S01134,27,Female,36,Reading/Writing,13,No,24,53.9,55,Yes,Medium,27,4,B,3,77.9
S01135,26,Male,7,Reading/Writing,2,Yes,17.7,50.4,55,Yes,Medium,30,8,B,3,68.1
S01136,27,Female,32,Reading/Writing,16,Yes,24.6,67.2,99,No,High,25,8,A,4,91.8
S01137,22,Male,5,Kinesthetic,12,Yes,25.8,70,95,No,Medium,28,8,A,4,95.8
S01138,27,Female,6,Kinesthetic,20,No,15.3,49.7,64,No,Low,3,4,B,3,65
S01139,19,Female,15,Kinesthetic,15,No,24,60.2,89,Yes,Medium,3,10,A,4,84.2
S01140,20,Male,5,Auditory,6,Yes,15.3,59.5,69,No,Low,12,7,A,4,74.8
S01141,20,Male,33,Kinesthetic,11,Yes,24.3,64.4,55,Yes,Low,10,5,A,4,88.7
S01142,27,Male,46,Visual,2,No,25.2,29.4,74,Yes,Medium,10,9,D,1,54.6
S01143,25,Other,41,Visual,4,Yes,28.2,65.8,71,Yes,Medium,20,4,A,4,94
S01144,24,Male,6,Kinesthetic,8,Yes,27.9,49,67,Yes,Medium,20,9,B,3,76.9
S01145,29,Male,39,Auditory,4,No,21.3,44.8,91,Yes,Medium,27,4,C,2,66.1
S01146,26,Male,39,Reading/Writing,0,No,26.7,70,87,Yes,Low,23,4,A,4,96.7
S01147,23,Female,33,Kinesthetic,4,No,15,58.8,55,Yes,Medium,29,5,B,3,73.8
S01148,20,Male,10,Visual,19,Yes,21.3,30.8,54,Yes,Medium,16,7,D,1,52.1
S01149,20,Male,37,Auditory,0,No,19.5,70,85,Yes,Low,9,10,A,4,89.5
S01150,28,Female,42,Visual,1,No,26.4,35,70,No,Medium,25,10,D,1,61.4
S01151,19,Female,41,Auditory,12,No,15.6,39.9,88,Yes,Medium,26,6,C,2,55.5
S01152,21,Male,42,Kinesthetic,14,No,24.6,67.9,73,Yes,High,8,7,A,4,92.5
S01153,20,Male,36,Reading/Writing,15,Yes,21.3,54.6,82,No,High,28,4,B,3,75.9
S01154,25,Female,15,Auditory,16,Yes,19.5,63,65,No,Medium,28,10,A,4,82.5
S01155,22,Female,41,Visual,3,Yes,17.1,68.6,80,No,Low,26,7,A,4,85.7
S01156,27,Female,33,Auditory,4,Yes,27.9,30.8,84,No,Medium,16,7,D,1,58.7
S01157,21,Male,35,Kinesthetic,0,Yes,16.5,65.1,90,Yes,Medium,23,9,A,4,81.6
S01158,19,Female,28,Kinesthetic,5,No,20.7,51.1,81,Yes,Low,15,6,B,3,71.8
S01159,25,Male,44,Kinesthetic,7,Yes,18.9,58.8,68,No,Medium,8,9,B,3,77.7
S01160,23,Female,39,Reading/Writing,17,No,21.3,70,74,Yes,Medium,20,5,A,4,91.3
S01161,19,Female,18,Reading/Writing,7,No,21,55.3,82,No,Low,20,5,B,3,76.3
S01162,18,Male,34,Kinesthetic,15,No,21.6,67.9,89,No,Medium,4,9,A,4,89.5
S01163,18,Female,23,Auditory,18,No,24.3,70,78,Yes,Medium,16,7,A,4,94.3
S01164,27,Female,6,Auditory,13,No,19.5,56,56,Yes,Low,16,4,B,3,75.5
S01165,28,Male,24,Visual,5,No,24.3,38.5,64,Yes,High,24,8,C,2,62.8
S01166,18,Male,22,Visual,5,No,30,64.4,88,Yes,Medium,28,7,A,4,94.4
S01167,18,Female,21,Reading/Writing,17,Yes,24.3,50.4,69,Yes,Low,24,10,B,3,74.7
S01168,20,Male,17,Reading/Writing,2,No,15.9,68.6,98,Yes,High,25,9,A,4,84.5
S01169,23,Female,48,Reading/Writing,15,Yes,19.5,65.8,68,Yes,Low,30,7,A,4,85.3
S01170,25,Female,24,Reading/Writing,1,Yes,15.9,47.6,74,No,Low,12,5,C,2,63.5
S01171,22,Female,43,Auditory,17,Yes,27,50.4,52,Yes,Medium,3,9,B,3,77.4
S01172,21,Female,40,Auditory,0,Yes,27.9,37.8,75,No,Medium,26,6,D,1,65.7
S01173,28,Female,34,Visual,1,Yes,25.2,42.7,50,Yes,Medium,20,10,C,2,67.9
S01174,26,Male,14,Reading/Writing,2,Yes,17.7,64.4,61,Yes,Low,8,4,A,4,82.1
S01175,21,Male,10,Kinesthetic,3,Yes,27,70,63,Yes,Medium,9,6,A,4,97
S01176,18,Male,35,Reading/Writing,20,Yes,24.3,60.9,80,Yes,Low,30,7,A,4,85.2
S01177,28,Female,18,Visual,5,Yes,24.3,47.6,89,Yes,High,16,10,C,2,71.9
S01178,27,Male,27,Visual,19,No,15.3,46.9,89,Yes,Medium,16,4,C,2,62.2
S01179,18,Female,25,Reading/Writing,0,No,26.4,34.3,82,Yes,Medium,23,8,D,1,60.7
S01180,21,Male,5,Reading/Writing,18,Yes,17.1,56.7,74,Yes,Low,26,5,B,3,73.8
S01181,22,Male,33,Auditory,17,Yes,16.8,44.8,82,Yes,Medium,23,5,C,2,61.6
S01182,29,Female,39,Auditory,10,No,15,32.9,60,Yes,Low,12,7,D,1,47.9
S01183,18,Female,36,Auditory,2,No,25.5,65.1,67,Yes,High,12,6,A,4,90.6
S01184,18,Male,20,Kinesthetic,14,Yes,23.1,43.4,98,Yes,Low,11,7,C,2,66.5
S01185,21,Female,9,Visual,18,Yes,22.5,35,66,No,High,26,8,D,1,57.5
S01186,23,Male,48,Reading/Writing,12,No,18.3,61.6,83,No,Low,24,4,A,4,79.9
S01187,18,Female,32,Visual,14,Yes,15.3,42,74,No,High,4,9,C,2,57.3
S01188,29,Male,26,Reading/Writing,17,No,21.6,38.5,71,No,Low,25,8,C,2,60.1
S01189,19,Female,9,Visual,5,No,29.1,31.5,51,No,Medium,2,10,D,1,60.6
S01190,25,Male,46,Visual,3,Yes,27.6,62.3,87,Yes,Medium,16,9,A,4,89.9
S01191,25,Female,16,Kinesthetic,19,No,17.7,38.5,71,Yes,High,15,4,C,2,56.2
S01192,29,Female,11,Kinesthetic,6,Yes,18.3,58.1,85,Yes,High,24,5,B,3,76.4
S01193,20,Male,12,Visual,15,No,15.6,61.6,65,Yes,Medium,28,10,A,4,77.2
S01194,27,Male,44,Kinesthetic,4,Yes,17.1,39.2,50,No,Medium,2,7,C,2,56.3
S01195,28,Male,5,Reading/Writing,7,Yes,18.9,42.7,93,Yes,Low,14,4,C,2,61.6
S01196,25,Female,14,Kinesthetic,11,No,27.6,55.3,82,No,Low,25,9,B,3,82.9
S01197,20,Male,31,Reading/Writing,19,Yes,15.6,60.9,76,Yes,High,23,9,A,4,76.5
S01198,26,Male,25,Visual,6,No,18.6,50.4,87,No,Low,8,6,B,3,69
S01199,28,Male,40,Visual,14,No,20.4,43.4,51,Yes,High,3,4,C,2,63.8
S01200,22,Male,30,Kinesthetic,11,Yes,29.7,43.4,89,Yes,Low,3,8,C,2,73.1
S01201,18,Male,17,Visual,9,Yes,18.9,51.8,57,No,High,21,7,B,3,70.7
S01202,23,Female,46,Reading/Writing,7,Yes,28.2,37.1,59,Yes,Low,2,9,D,1,65.3
S01203,28,Female,47,Visual,15,Yes,16.2,31.5,89,Yes,High,19,6,D,1,47.7
S01204,26,Female,30,Visual,0,No,15.9,51.1,86,Yes,Low,6,10,B,3,67
S01205,25,Other,18,Kinesthetic,8,Yes,29.7,65.8,89,Yes,Low,1,4,A,4,95.5
S01206,29,Female,32,Reading/Writing,10,No,27,37.1,56,No,High,26,9,D,1,64.1
S01207,28,Female,28,Kinesthetic,11,Yes,17.1,47.6,74,Yes,Low,12,5,C,2,64.7
S01208,28,Male,16,Reading/Writing,7,Yes,28.2,58.8,70,Yes,High,2,6,B,3,87
S01209,27,Female,44,Auditory,17,Yes,16.2,51.1,87,Yes,Medium,11,9,B,3,67.3
S01210,24,Male,23,Visual,6,No,28.8,58.1,51,No,Medium,26,6,B,3,86.9
S01211,20,Male,36,Kinesthetic,5,No,26.1,28,50,Yes,Low,9,4,D,1,54.1
S01212,26,Female,28,Visual,6,Yes,15.6,47.6,89,Yes,Low,23,8,C,2,63.2
S01213,27,Female,21,Visual,19,Yes,15,28,60,Yes,Low,19,8,D,1,43
S01214,23,Female,27,Visual,12,No,18,43.4,73,Yes,High,23,5,C,2,61.4
S01215,24,Male,28,Reading/Writing,9,Yes,21.3,56.7,90,No,Medium,2,10,B,3,78
S01216,27,Other,11,Kinesthetic,6,Yes,22.5,30.1,84,Yes,Medium,13,7,D,1,52.6
S01217,22,Female,27,Visual,14,No,26.7,47.6,66,Yes,Medium,6,8,C,2,74.3
S01218,26,Female,13,Visual,12,No,28.8,48.3,94,Yes,Low,21,5,C,2,77.1
S01219,24,Male,14,Visual,13,Yes,28.8,53.9,62,Yes,Low,29,10,B,3,82.7
S01220,20,Male,18,Visual,8,No,26.7,44.8,50,Yes,Medium,12,6,C,2,71.5
S01221,29,Male,21,Reading/Writing,2,No,22.8,37.8,54,Yes,Low,20,5,D,1,60.6
S01222,25,Male,23,Visual,10,No,19.8,36.4,58,No,High,2,5,D,1,56.2
S01223,23,Male,28,Reading/Writing,16,Yes,17.1,64.4,55,Yes,Low,4,7,A,4,81.5
S01224,21,Female,16,Auditory,20,No,18,41.3,91,No,High,3,10,C,2,59.3
S01225,26,Other,48,Visual,19,Yes,15.9,63,94,Yes,High,18,5,A,4,78.9
S01226,26,Other,17,Reading/Writing,14,No,16.8,67.9,89,Yes,Medium,29,6,A,4,84.7
S01227,28,Male,29,Visual,16,Yes,26.7,49.7,85,Yes,Medium,20,4,B,3,76.4
S01228,29,Female,31,Reading/Writing,5,No,21.6,31.5,51,Yes,Medium,23,4,D,1,53.1
